price,area,road_width,width,floors,parking_slots,bedrooms,type_Nhà trong ngõ,district_Quận Bắc Từ Liêm,district_Quận Cầu Giấy,district_Quận Hai Bà Trưng,district_Quận Hoàn Kiếm,district_Quận Hoàng Mai,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Nam Từ Liêm,district_Quận Thanh Xuân,district_Quận Tây Hồ,district_Quận Đống Đa
4.8,34.0,3.0,4.0,5.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
3.9,34.0,3.0,3.7,5.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
3.2,40.0,3.0,3.8,4.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
4.3,38.0,3.0,5.0,5.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
4.25,35.0,4.0,3.2,4.0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
4.0,33.0,3.0,3.4,5.0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
5.8,41.0,5.0,3.3,4.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
8.2,64.0,15.0,4.6,1.0,4,2,0,0,0,0,0,0,0,1,0,0,0,0
27.8,50.0,18.0,5.5,6.0,4,6,0,0,0,0,0,0,0,0,0,0,1,0
4.8,34.0,3.0,4.0,5.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
17.5,37.0,40.0,4.0,5.0,4,5,0,0,0,0,0,0,0,0,0,0,1,0
3.9,30.0,3.0,5.3,5.0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
4.6,38.0,5.0,3.7,4.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
3.8,36.0,3.0,3.7,4.0,0,4,1,0,0,0,0,0,1,0,0,0,0,0
4.25,35.0,4.0,3.2,4.0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
4.0,33.0,3.0,3.4,5.0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
5.8,41.0,5.0,3.3,4.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
15.0,53.0,20.0,4.0,7.0,2,6,0,0,0,0,0,0,0,1,0,0,0,0
17.5,37.0,40.0,4.0,5.0,4,4,0,0,0,0,0,0,0,0,0,0,1,0
7.8,33.0,6.0,3.5,4.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
7.3,36.0,6.0,4.5,3.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
2.6,28.0,2.5,3.2,4.0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
2.75,31.0,2.0,4.0,5.0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
1.85,30.0,2.0,3.6,4.0,1,3,0,0,0,0,0,0,0,1,0,0,0,0
2.0,31.0,2.0,3.4,4.0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
2.6,28.0,2.5,3.2,4.0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
7.8,33.0,6.0,3.5,4.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
7.3,36.0,6.0,4.5,3.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
7.95,48.0,7.0,6.5,5.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
3.85,40.0,3.0,8.0,4.0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
3.7,33.0,3.0,4.0,5.0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
6.8,37.0,12.0,3.5,5.0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
5.8,38.0,6.0,4.0,5.0,2,4,1,0,0,0,0,0,1,0,0,0,0,0
4.1,40.0,3.0,4.0,4.0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
4.75,35.0,5.0,3.5,5.0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
4.95,40.0,6.0,6.4,5.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0
